,Character,Minutes,Dead,8.3,book_popularity,Ep,movie_popularity,bigger_in_book,DeathValue,8.3_value,8.4_value,8.5_value,8.6_value
0,Jon Snow,338,False,True,1.0,,0.3912270261616999,0.6087729738383001,,6.829,7.088,7.017,6.948
1,Tyrion Lannister,337,False,True,1.0,,0.3900695497529375,0.6099304502470625,,6.815,7.073,7.002,6.934
2,Daenerys Targaryen,276,False,True,1.0,,0.3194634888184295,0.6805365111815704,,5.944,6.149,6.092,6.036
3,Sansa Stark,239,False,True,1.0,,0.27663686169421975,0.7233631383057803,,5.415,5.589,5.539,5.491
4,Cersei Lannister,236,False,False,1.0,,0.2731644324679325,0.7268355675320675,,,5.544,5.495,
5,Arya Stark,224,False,True,1.0,,0.25927471556278336,0.7407252844372166,,5.201,5.362,5.316,5.27
6,Jaime Lannister,199,False,True,1.0,,0.23033780534372275,0.7696621946562773,,4.844,4.984,4.942,
7,Samwell Tarly,144,False,True,0.9698996655518392,,0.1666766028617893,0.8032230626900498,,3.936,4.026,3.997,3.969
8,Jorah Mormont,143,False,True,0.7224080267558521,,0.16551912645302688,0.5568889003028252,,2.921,,,
9,Theon Greyjoy,136,False,True,1.0,,0.15741679159168992,0.84258320840831,,3.944,,,
10,Petyr Baelish*,119,True,False,1.0,67.0,0.13773969264272867,0.8622603073572713,3.776,,,,
11,Davos Seaworth,110,False,True,0.9698996655518392,,0.12732240496386685,0.8425772605879723,,3.465,3.527,3.505,3.484
12,Ned Stark*,100,True,False,1.0,6.0,0.11574764087624258,0.8842523591237574,18.667,,,,
13,Bran Stark,99,False,True,1.0,,0.11459016446748016,0.8854098355325198,,3.415,3.47,3.45,3.43
14,Brienne of Tarth,98,False,True,1.0,,0.11343268805871773,0.8865673119412822,,3.401,3.455,3.435,3.415
15,Sandor Clegane,95,False,True,0.695652173913043,,0.10996025883243045,0.5856919150806126,,2.336,2.372,2.358,
16,Varys,94,False,True,0.8996655518394642,,0.10880278242366803,0.7908627694157961,,3.008,3.054,3.037,
17,Catelyn Stark*,83,True,False,1.0,19.0,0.09607054192728134,0.9039294580727186,6.368,,,,
18,Tywin Lannister*,78,True,False,1.0,30.0,0.09028315988346922,0.9097168401165308,4.6,,,,
19,Margaery Tyrell*,78,True,False,1.0,60.0,0.09028315988346922,0.9097168401165308,3.3,,,,
20,Robb Stark*,77,True,False,1.0,19.0,0.08912568347470678,0.9108743165252933,6.053,,,,
21,Bronn,75,False,False,0.471571906354515,,0.08681073065718194,0.3847611756973331,,,1.465,1.458,1.451
22,Stannis Baratheon*,73,True,False,1.0,50.0,0.08449577783965709,0.9155042221603429,3.46,,,,
23,Joffrey Baratheon*,70,True,False,1.0,22.0,0.08102334861336981,0.9189766513866302,5.182,,,,
24,Melisandre,69,False,True,0.7458193979933109,,0.07986587220460738,0.6659535257887035,,2.227,2.25,,
25,Ramsay Bolton*,66,True,False,0.461538,59.0,0.07639344297832011,0.3851445570216799,1.439,,,,
26,Missandei,62,False,True,0.17391304347826,,0.0717635373432704,0.1021495061349896,,0.502,0.506,0.504,0.502
