"Date","Millions of people"
"1/1/97","5.05"
"2/1/97","5.15"
"3/1/97","5.07"
"4/1/97","4.89"
"5/1/97","5.2"
"6/1/97","4.92"
"7/1/97","4.91"
"8/1/97","4.82"
"9/1/97","4.84"
"10/1/97","4.77"
"11/1/97","4.85"
"12/1/97","4.77"
"1/1/98","4.93"
"2/1/98","4.81"
"3/1/98","4.9"
"4/1/98","4.89"
"5/1/98","4.69"
"6/1/98","4.79"
"7/1/98","4.85"
"8/1/98","4.95"
"9/1/98","4.92"
"10/1/98","4.86"
"11/1/98","4.57"
"12/1/98","4.55"
"1/1/99","4.71"
"2/1/99","4.64"
"3/1/99","4.63"
"4/1/99","4.78"
"5/1/99","4.64"
"6/1/99","4.8"
"7/1/99","4.52"
"8/1/99","4.53"
"9/1/99","4.35"
"10/1/99","4.31"
"11/1/99","4.43"
"12/1/99","4.39"
"1/1/00","4.3"
"2/1/00","4.46"
"3/1/00","4.69"
"4/1/00","4.43"
"5/1/00","4.39"
"6/1/00","4.31"
"7/1/00","4.43"
"8/1/00","4.29"
"9/1/00","4.39"
"10/1/00","4.39"
"11/1/00","4.33"
"12/1/00","4.55"
"1/1/01","4.4"
"2/1/01","4.57"
"3/1/01","4.3"
"4/1/01","4.51"
"5/1/01","4.52"
"6/1/01","4.64"
"7/1/01","4.49"
"8/1/01","4.9"
"9/1/01","4.58"
"10/1/01","4.69"
"11/1/01","4.75"
"12/1/01","4.74"
"1/1/02","4.8"
"2/1/02","4.56"
"3/1/02","4.6"
"4/1/02","4.61"
"5/1/02","4.83"
"6/1/02","4.77"
"7/1/02","4.85"
"8/1/02","4.63"
"9/1/02","4.69"
"10/1/02","4.43"
"11/1/02","4.73"
"12/1/02","4.57"
"1/1/03","4.63"
"2/1/03","4.6"
"3/1/03","4.92"
"4/1/03","4.45"
"5/1/03","4.81"
"6/1/03","4.74"
"7/1/03","4.86"
"8/1/03","4.83"
"9/1/03","4.83"
"10/1/03","4.76"
"11/1/03","4.53"
"12/1/03","4.7"
"1/1/04","4.77"
"2/1/04","4.75"
"3/1/04","4.82"
"4/1/04","4.69"
"5/1/04","4.74"
"6/1/04","4.65"
"7/1/04","4.66"
"8/1/04","4.93"
"9/1/04","4.93"
"10/1/04","5.28"
"11/1/04","5.11"
"12/1/04","4.95"
"1/1/05","4.99"
